Date,Close/Last,Volume,Open,High,Low,Daily Return,Cumulative Return,SMA_20,SMA_50,EMA_20,EMA_50,Volatility_20
2014-11-05,202.34,91466110,202.54,202.59,201.45,,,,,202.34,202.34,
2014-11-06,203.15,106715600,202.39,203.26,201.64,0.004003162992982201,0.004003162992982201,,,202.41714285714286,202.37176470588236,
2014-11-07,203.34,89443040,203.17,203.5999,202.61,0.0009352695052915472,0.004942176534545872,,,202.50503401360547,202.40973471741637,
2014-11-10,203.98,65897370,203.38,204.04,203.13,0.0031474377889249006,0.008105169516655186,,,202.64550696469067,202.47131374810593,
2014-11-11,204.175,54294510,204.055,204.31,203.65,0.0009559760760859959,0.009068893940891831,,,202.79117296805347,202.5381249736704,
2014-11-12,203.96,89957030,203.35,204.24,203.31,-0.0010530182441532698,0.008006325985964402,,,202.90248982823886,202.5938847786245,
2014-11-13,204.19,84981760,204.16,204.83,203.21,0.0011276720925670336,0.009143026588909864,,,203.02510984459704,202.65647753240393,
2014-11-14,204.24,80310420,204.1,204.49,203.72,0.0002448699740438265,0.009390135415637157,,,203.14081366892114,202.7185764527018,
2014-11-17,204.37,80373860,203.85,204.58,203.65,0.0006365060712887338,0.010032618365128254,,,203.2578790337858,202.78333816043897,
2014-11-18,205.55,75858730,204.44,205.92,204.44,0.005773841561873105,0.015864386675892295,,,203.47617626866335,202.89183470316686,
2014-11-19,205.22,82226470,205.31,205.55,204.3,-0.001605448795913511,0.014233468419492024,,,203.64225471926684,202.98313530304267,
2014-11-20,205.58,72498660,204.26,205.71,204.18,0.0017542149887925795,0.016012651971928582,,,203.8268018888605,203.0849731342959,
2014-11-21,206.68,142105400,207.64,207.8445,205.98,0.005350715050102206,0.02144904615992904,,,204.09853504230236,203.22595458000978,
2014-11-24,207.26,65635340,207.17,207.39,206.91,0.0028062705631894946,0.02431550854996556,,,204.39962694303549,203.38415243961725,
2014-11-25,207.11,79013710,207.54,207.79,206.8,-0.0007237286500046958,0.0235741820697839,,,204.65775771036544,203.5302641086519,
